Дата,Точка,Температура,Осадки,Риск
2026-09-23 00:37,Медеу (Алматы),13.3,0.0,NORMAL
2026-09-23 00:37,Талгар,15.4,0.0,NORMAL
2026-09-23 00:37,Есик,16.0,0.0,NORMAL
2026-09-23 00:37,Каскелен,16.9,0.0,NORMAL
2026-09-23 00:37,Медеу (Алматы),13.3,0.0,NORMAL
2026-09-23 00:37,Талгар,15.4,0.0,NORMAL
2026-09-23 00:37,Есик,16.0,0.0,NORMAL
2026-09-23 00:37,Каскелен,16.9,0.0,NORMAL
2026-09-23 00:41,Медеу (Алматы),13.3,0.0,NORMAL
2026-09-23 00:41,Талгар,15.4,0.0,NORMAL
2026-09-23 00:41,Есик,16.0,0.0,NORMAL
2026-09-23 00:41,Каскелен,16.9,0.0,NORMAL
2026-09-23 12:13,Медеу (Алматы),17.6,0.1,NORMAL
2026-09-23 12:13,Талгар,23.8,0.0,NORMAL
2026-09-23 12:13,Есик,23.6,0.0,NORMAL
2026-09-23 12:13,Каскелен,24.7,0.0,NORMAL
2026-09-23 12:21,Медеу (Алматы),18.0,0.0,NORMAL
2026-09-23 12:21,Талгар,24.0,0.0,NORMAL
2026-09-23 12:21,Есик,23.5,0.0,NORMAL
2026-09-23 12:21,Каскелен,24.8,0.0,NORMAL
2026-09-23 12:22,Медеу (Алматы),18.0,0.0,NORMAL
2026-09-23 12:22,Талгар,24.0,0.0,NORMAL
2026-09-23 12:22,Есик,23.5,0.0,NORMAL
2026-09-23 12:22,Каскелен,24.8,0.0,NORMAL
2026-09-23 12:38,Медеу (Алматы),18.6,0.0,NORMAL
2026-09-23 12:38,Талгар,24.3,0.0,NORMAL
2026-09-23 12:38,Есик,23.4,0.0,NORMAL
2026-09-23 12:38,Каскелен,24.9,0.0,NORMAL
2026-09-23 12:39,Медеу (Алматы),18.6,0.0,NORMAL
2026-09-23 12:39,Талгар,24.3,0.0,NORMAL
2026-09-23 12:39,Есик,23.4,0.0,NORMAL
2026-09-23 12:39,Каскелен,24.9,0.0,NORMAL
2026-09-23 13:01,Медеу (Алматы),19.7,0.0,NORMAL
2026-09-23 13:01,Талгар,24.7,0.0,NORMAL
2026-09-23 13:01,Есик,23.2,0.0,NORMAL
2026-09-23 13:01,Каскелен,24.9,0.0,NORMAL
2026-09-23 14:09,Медеу (Алматы),18.4,0.0,NORMAL
2026-09-23 14:09,Талгар,24.3,0.0,NORMAL
2026-09-23 14:09,Есик,23.8,0.0,NORMAL
2026-09-23 14:09,Каскелен,N/A,N/A,UNKNOWN
